commodity_desc,skus,manufacturers,panel_rows,units,sales,promo_share,top2_mfr_share,within_sw_variation
SOFT DRINKS,1696,37,101249,161035.0,328533.0,0.343,0.6,0.763
CHEESE,1096,40,69691,96364.0,189529.0,0.331,0.924,0.741
BAKED BREAD/BUNS/ROLLS,1169,48,70803,99760.0,145983.0,0.312,0.655,0.738
BAG SNACKS,1521,51,62788,80436.0,148404.0,0.333,0.745,0.729
BEEF,1108,375,43185,65557.0,312103.0,0.308,0.198,0.707
FROZEN PIZZA,900,40,41592,67223.0,146037.0,0.34,0.362,0.597
CANDY - CHECKLANE,554,30,32418,58036.0,28243.0,0.362,0.654,0.561
FLUID MILK PRODUCTS,455,31,56291,116260.0,205472.0,0.344,0.948,0.56
FRZN MEAT/MEAT DINNERS,1268,43,54366,79375.0,160517.0,0.304,0.531,0.541
VEGETABLES - SHELF STABLE,831,45,39993,77502.0,57690.0,0.178,0.726,0.438
SOUP,976,41,44369,85635.0,87795.0,0.124,0.69,0.336
YOGURT,686,9,42998,74024.0,59342.0,0.231,0.73,0.336
