sub_commodity,cross_elasticity,se,n_cells,brand_packs
ENERGY DRINK,0.2997768960489885,1.0282459952948573,361,5
SFT DRNK 2 LITER BTL CARB INCL,0.17526374812322554,1.0942260451017727,654,8
SFT DRNK MLT-PK BTL CARB (EXCP,-0.4816357926165347,1.7789105420791622,524,8
SFT DRNK SNGL SRV BTL CARB (EX,3.2699084067571564,2.3876561487304557,438,5
SOFT DRINK BOTTLE NON-CARB (EX,-0.9935736942285743,1.9487044310119275,456,6
SOFT DRINKS 12/18&15PK CAN CAR,2.0759514516127093,0.3991755435328325,742,10
SOFT DRINKS 20PK&24PK CAN CARB,-0.0817220192017925,3.759973459030263,494,5
SOFT DRINKS 6PK/4PK CAN CARB (,3.2101547489108055,1.893347791979505,421,5
SOFT DRINKS CAN NON-CARB (EXCE,0.6370478409515273,1.2432484360328178,412,6
TEA SWEETENED,0.9356309982906065,0.947841183373762,441,6
